trip_id,timestamp,origin_lat,origin_lon,destination_lat,destination_lon,distance_miles,surge_multiplier,fare,status,vehicle_id,pickup_distance,pickup_time_minutes,reason,nearest_pickup_distance,nearest_pickup_time,missed_revenue,datetime
TRIP_000000,0.0,37.75963423359343,-122.32750120470726,37.768769923200146,-122.3401083848788,0.9344071935593311,1.0,3.747525754847465,assigned,19.0,3.374096255870726,8.097831014089742,,,,,2025-01-16 00:00:00.000000
TRIP_000001,24.00892287662025,37.786841219900296,-122.32529984197075,37.82742878470156,-122.41422007052097,5.6075058243170615,1.0,7.4860046594536485,assigned,64.0,3.719975165509821,8.927940397223571,,,,,2025-01-16 00:00:24.008923
TRIP_000002,24.36879001193302,37.682279729243874,-122.47235035646314,37.78034252964036,-122.51774552737238,7.2173485906087365,1.0,8.77387887248699,assigned,55.0,2.9264725467010573,7.023534112082538,,,,,2025-01-16 00:00:24.368790
TRIP_000003,26.09497618853092,37.77909467590043,-122.36886383038996,37.732203205341385,-122.5289618936839,9.329170613970932,1.0,10.463336491176747,assigned,3.0,1.49934014603883,3.598416350493194,,,,,2025-01-16 00:00:26.094976
TRIP_000004,46.40747799938408,37.76801342397004,-122.50363144472213,37.82010922078951,-122.48077596129689,3.810722988764927,1.0,6.048578391011942,assigned,99.0,0.40274811958577306,0.9665954870058561,,,,,2025-01-16 00:00:46.407478
TRIP_000005,114.34508498674268,37.767223540604746,-122.39069560959973,37.71829727683931,-122.469080620104,5.457652192825841,1.0,7.366121754260673,assigned,15.0,0.186827589652021,0.44838621516485105,,,,,2025-01-16 00:01:54.345085
TRIP_000006,123.18847565236621,37.72818071693624,-122.36160533103293,37.779579629537835,-122.45973174243774,6.431966820922612,1.0,8.14557345673809,assigned,88.0,1.146539887989571,2.751695731174971,,,,,2025-01-16 00:02:03.188476
TRIP_000007,135.5532814426088,37.763778291418674,-122.40302661859502,37.798248405467284,-122.48435784961063,5.041074414941167,1.0,7.032859531952933,assigned,93.0,0.22911611669672602,0.549878680072144,,,,,2025-01-16 00:02:15.553281
TRIP_000008,135.8267638861649,37.79842015334216,-122.39021179664267,37.81116824217517,-122.43132227844404,2.411597129338867,1.0,4.929277703471094,assigned,38.0,1.04993261748635,2.51983828196724,,,,,2025-01-16 00:02:15.826764
TRIP_000009,153.48248674143795,37.79261442787739,-122.35989146222991,37.83236779708487,-122.4235177429365,4.429164476354406,1.0,6.543331581083525,assigned,41.0,2.416038147626583,5.7984915543038005,,,,,2025-01-16 00:02:33.482487
TRIP_000010,191.8893337470432,37.73702324251142,-122.36073252799423,37.82743407627166,-122.3881462575238,6.425468224831967,1.0,8.140374579865574,assigned,91.0,1.677250128220956,4.025400307730295,,,,,2025-01-16 00:03:11.889334
TRIP_000011,203.4652734669284,37.709721889742276,-122.41225949508383,37.74966538764477,-122.40676499811109,2.776898340604767,1.0,5.221518672483814,assigned,81.0,0.210533432517043,0.505280238040903,,,,,2025-01-16 00:03:23.465273
TRIP_000012,228.70950026057182,37.73892059257088,-122.35530949505733,37.67177034877913,-122.47950455294017,8.225292483075517,1.0,9.580233986460414,assigned,24.0,2.192803926537764,5.262729423690635,,,,,2025-01-16 00:03:48.709500
TRIP_000013,234.3566763622293,37.75625535101278,-122.46338256475528,37.78186227412844,-122.3241079783167,7.812054324978252,1.0,9.249643459982602,assigned,95.0,0.13708371467298902,0.32900091521517405,,,,,2025-01-16 00:03:54.356676
TRIP_000014,255.82776894213364,37.66670026822801,-122.41225300799024,37.728325466627176,-122.54537951462471,8.43443167887403,1.0,9.747545343099226,assigned,35.0,3.920248959391921,9.40859750254061,,,,,2025-01-16 00:04:15.827769
TRIP_000015,259.8682619008034,37.70493558303544,-122.36504768470922,37.70771637462338,-122.43402590684126,3.776556458301112,1.0,6.02124516664089,assigned,86.0,2.883729921332762,6.9209518111986315,,,,,2025-01-16 00:04:19.868262
TRIP_000016,266.85871307531755,37.710540358788286,-122.43530215535625,37.676999992304516,-122.47957849677822,3.352106372459121,1.0,5.681685097967297,assigned,17.0,1.035351428747374,2.484843428993697,,,,,2025-01-16 00:04:26.858713
TRIP_000017,344.78913029119724,37.8523781173265,-122.38154820344953,37.73338378033331,-122.44618430927473,8.949661630744407,1.0,10.159729304595526,assigned,40.0,3.115426155223986,7.477022772537567,,,,,2025-01-16 00:05:44.789130
TRIP_000018,346.7212724882248,37.7967090436349,-122.33214902707716,37.792000799897075,-122.52583094382554,10.582752825907729,1.0,11.466202260726183,assigned,16.0,3.308008330850516,7.939219994041239,,,,,2025-01-16 00:05:46.721272
TRIP_000019,386.3533573214493,37.7516824301927,-122.4836198803928,37.75165190375696,-122.50395875111315,1.1114312809485931,1.0,3.889145024758875,assigned,70.0,0.373203135942332,0.8956875262615971,,,,,2025-01-16 00:06:26.353357
TRIP_000020,434.33696652088975,37.73031217860628,-122.5193150273714,37.74110991224151,-122.35094935372749,9.232630502920749,1.0,10.3861044023366,assigned,82.0,0.327306606183671,0.785535854840811,,,,,2025-01-16 00:07:14.336967
TRIP_000021,441.12979056281154,37.81867733944851,-122.48520382515034,37.76146089728792,-122.55701421635158,5.569554468150979,1.0,7.455643574520784,assigned,92.0,0.7924379112191631,1.901850986925992,,,,,2025-01-16 00:07:21.129791
TRIP_000022,459.84311899354276,37.77448656677731,-122.31598629296552,37.73124440502261,-122.53034163354049,12.0886261207952,1.0,12.67090089663616,assigned,44.0,3.8994721328517072,9.358733118844098,,,,,2025-01-16 00:07:39.843119
TRIP_000023,484.396791604909,37.76376672866184,-122.49862411026731,37.759292778988396,-122.56699784950365,3.7485985553769963,1.0,5.998878844301597,assigned,94.0,0.340370377559637,0.816888906143129,,,,,2025-01-16 00:08:04.396792
TRIP_000024,527.873917660638,37.838058487659765,-122.52167771730932,37.71398470585168,-122.46294808389261,9.155605458903606,1.0,10.324484367122885,assigned,30.0,3.355122928228466,8.052295027748318,,,,,2025-01-16 00:08:47.873918
TRIP_000025,536.1670502122754,37.696261301291756,-122.42235158318124,37.77704441170246,-122.56900108164183,9.768199170904268,1.0,10.814559336723415,assigned,53.0,1.228888514285262,2.94933243428463,,,,,2025-01-16 00:08:56.167050
TRIP_000026,569.3584349403905,37.75119873235126,-122.55443521968375,37.85218920384561,-122.48526193289027,7.936367159676269,1.0,9.349093727741016,assigned,23.0,1.399732167376329,3.35935720170319,,,,,2025-01-16 00:09:29.358435
TRIP_000027,579.6964552337217,37.81042647004538,-122.46403286575956,37.73402208758241,-122.53500400569682,6.551065715922032,1.0,8.240852572737627,assigned,90.0,0.44137930403330705,1.059310329679939,,,,,2025-01-16 00:09:39.696455
